,mda_round,tc,beta,pfpr0,cr_factor,mda_coverage,strategy,b_drug,oz_eff
0,0,0.55,0.06413,3.0,1,0.6,AAB,OZFQ,40
1,0,0.55,0.06413,3.0,1,0.6,ABA,OZFQ,40
2,0,0.55,0.06413,3.0,1,0.6,ABB,OZFQ,40
3,0,0.55,0.06413,3.0,1,0.7,AAB,OZFQ,40
4,0,0.55,0.06413,3.0,1,0.7,ABA,OZFQ,40
5,0,0.55,0.06413,3.0,1,0.7,ABB,OZFQ,40
6,0,0.55,0.06413,3.0,1,0.8,AAB,OZFQ,40
7,0,0.55,0.06413,3.0,1,0.8,ABA,OZFQ,40
8,0,0.55,0.06413,3.0,1,0.8,ABB,OZFQ,40
9,0,0.55,0.06413,3.0,1,0.9,AAB,OZFQ,40
10,0,0.55,0.06413,3.0,1,0.9,ABA,OZFQ,40
11,0,0.55,0.06413,3.0,1,0.9,ABB,OZFQ,40
12,0,0.55,0.06413,3.0,2,0.6,AAB,OZFQ,40
13,0,0.55,0.06413,3.0,2,0.6,ABA,OZFQ,40
14,0,0.55,0.06413,3.0,2,0.6,ABB,OZFQ,40
15,0,0.55,0.06413,3.0,2,0.7,AAB,OZFQ,40
16,0,0.55,0.06413,3.0,2,0.7,ABA,OZFQ,40
17,0,0.55,0.06413,3.0,2,0.7,ABB,OZFQ,40
18,0,0.55,0.06413,3.0,2,0.8,AAB,OZFQ,40
19,0,0.55,0.06413,3.0,2,0.8,ABA,OZFQ,40
20,0,0.55,0.06413,3.0,2,0.8,ABB,OZFQ,40
21,0,0.55,0.06413,3.0,2,0.9,AAB,OZFQ,40
22,0,0.55,0.06413,3.0,2,0.9,ABA,OZFQ,40
23,0,0.55,0.06413,3.0,2,0.9,ABB,OZFQ,40
24,0,0.55,0.06413,3.0,5,0.6,AAB,OZFQ,40
25,0,0.55,0.06413,3.0,5,0.6,ABA,OZFQ,40
26,0,0.55,0.06413,3.0,5,0.6,ABB,OZFQ,40
27,0,0.55,0.06413,3.0,5,0.7,AAB,OZFQ,40
28,0,0.55,0.06413,3.0,5,0.7,ABA,OZFQ,40
29,0,0.55,0.06413,3.0,5,0.7,ABB,OZFQ,40
30,0,0.55,0.06413,3.0,5,0.8,AAB,OZFQ,40
31,0,0.55,0.06413,3.0,5,0.8,ABA,OZFQ,40
32,0,0.55,0.06413,3.0,5,0.8,ABB,OZFQ,40
33,0,0.55,0.06413,3.0,5,0.9,AAB,OZFQ,40
34,0,0.55,0.06413,3.0,5,0.9,ABA,OZFQ,40
35,0,0.55,0.06413,3.0,5,0.9,ABB,OZFQ,40
36,0,0.55,0.06413,3.0,10,0.6,AAB,OZFQ,40
37,0,0.55,0.06413,3.0,10,0.6,ABA,OZFQ,40
38,0,0.55,0.06413,3.0,10,0.6,ABB,OZFQ,40
39,0,0.55,0.06413,3.0,10,0.7,AAB,OZFQ,40
40,0,0.55,0.06413,3.0,10,0.7,ABA,OZFQ,40
41,0,0.55,0.06413,3.0,10,0.7,ABB,OZFQ,40
42,0,0.55,0.06413,3.0,10,0.8,AAB,OZFQ,40
43,0,0.55,0.06413,3.0,10,0.8,ABA,OZFQ,40
44,0,0.55,0.06413,3.0,10,0.8,ABB,OZFQ,40
45,0,0.55,0.06413,3.0,10,0.9,AAB,OZFQ,40
46,0,0.55,0.06413,3.0,10,0.9,ABA,OZFQ,40
47,0,0.55,0.06413,3.0,10,0.9,ABB,OZFQ,40
48,0,0.55,0.0585,2.0,1,0.6,AAB,OZFQ,40
49,0,0.55,0.0585,2.0,1,0.6,ABA,OZFQ,40
50,0,0.55,0.0585,2.0,1,0.6,ABB,OZFQ,40
51,0,0.55,0.0585,2.0,1,0.7,AAB,OZFQ,40
52,0,0.55,0.0585,2.0,1,0.7,ABA,OZFQ,40
53,0,0.55,0.0585,2.0,1,0.7,ABB,OZFQ,40
54,0,0.55,0.0585,2.0,1,0.8,AAB,OZFQ,40
55,0,0.55,0.0585,2.0,1,0.8,ABA,OZFQ,40
56,0,0.55,0.0585,2.0,1,0.8,ABB,OZFQ,40
57,0,0.55,0.0585,2.0,1,0.9,AAB,OZFQ,40
58,0,0.55,0.0585,2.0,1,0.9,ABA,OZFQ,40
59,0,0.55,0.0585,2.0,1,0.9,ABB,OZFQ,40
60,0,0.55,0.0585,2.0,2,0.6,AAB,OZFQ,40
61,0,0.55,0.0585,2.0,2,0.6,ABA,OZFQ,40
62,0,0.55,0.0585,2.0,2,0.6,ABB,OZFQ,40
63,0,0.55,0.0585,2.0,2,0.7,AAB,OZFQ,40
64,0,0.55,0.0585,2.0,2,0.7,ABA,OZFQ,40
65,0,0.55,0.0585,2.0,2,0.7,ABB,OZFQ,40
66,0,0.55,0.0585,2.0,2,0.8,AAB,OZFQ,40
67,0,0.55,0.0585,2.0,2,0.8,ABA,OZFQ,40
68,0,0.55,0.0585,2.0,2,0.8,ABB,OZFQ,40
69,0,0.55,0.0585,2.0,2,0.9,AAB,OZFQ,40
70,0,0.55,0.0585,2.0,2,0.9,ABA,OZFQ,40
71,0,0.55,0.0585,2.0,2,0.9,ABB,OZFQ,40
72,0,0.55,0.0585,2.0,5,0.6,AAB,OZFQ,40
73,0,0.55,0.0585,2.0,5,0.6,ABA,OZFQ,40
74,0,0.55,0.0585,2.0,5,0.6,ABB,OZFQ,40
75,0,0.55,0.0585,2.0,5,0.7,AAB,OZFQ,40
76,0,0.55,0.0585,2.0,5,0.7,ABA,OZFQ,40
77,0,0.55,0.0585,2.0,5,0.7,ABB,OZFQ,40
78,0,0.55,0.0585,2.0,5,0.8,AAB,OZFQ,40
79,0,0.55,0.0585,2.0,5,0.8,ABA,OZFQ,40
80,0,0.55,0.0585,2.0,5,0.8,ABB,OZFQ,40
81,0,0.55,0.0585,2.0,5,0.9,AAB,OZFQ,40
82,0,0.55,0.0585,2.0,5,0.9,ABA,OZFQ,40
83,0,0.55,0.0585,2.0,5,0.9,ABB,OZFQ,40
84,0,0.55,0.0585,2.0,10,0.6,AAB,OZFQ,40
85,0,0.55,0.0585,2.0,10,0.6,ABA,OZFQ,40
86,0,0.55,0.0585,2.0,10,0.6,ABB,OZFQ,40
87,0,0.55,0.0585,2.0,10,0.7,AAB,OZFQ,40
88,0,0.55,0.0585,2.0,10,0.7,ABA,OZFQ,40
89,0,0.55,0.0585,2.0,10,0.7,ABB,OZFQ,40
90,0,0.55,0.0585,2.0,10,0.8,AAB,OZFQ,40
91,0,0.55,0.0585,2.0,10,0.8,ABA,OZFQ,40
92,0,0.55,0.0585,2.0,10,0.8,ABB,OZFQ,40
93,0,0.55,0.0585,2.0,10,0.9,AAB,OZFQ,40
94,0,0.55,0.0585,2.0,10,0.9,ABA,OZFQ,40
95,0,0.55,0.0585,2.0,10,0.9,ABB,OZFQ,40
96,0,0.55,0.0538,1.0,1,0.6,AAB,OZFQ,40
97,0,0.55,0.0538,1.0,1,0.6,ABA,OZFQ,40
98,0,0.55,0.0538,1.0,1,0.6,ABB,OZFQ,40
99,0,0.55,0.0538,1.0,1,0.7,AAB,OZFQ,40
100,0,0.55,0.0538,1.0,1,0.7,ABA,OZFQ,40
101,0,0.55,0.0538,1.0,1,0.7,ABB,OZFQ,40
102,0,0.55,0.0538,1.0,1,0.8,AAB,OZFQ,40
103,0,0.55,0.0538,1.0,1,0.8,ABA,OZFQ,40
104,0,0.55,0.0538,1.0,1,0.8,ABB,OZFQ,40
105,0,0.55,0.0538,1.0,1,0.9,AAB,OZFQ,40
106,0,0.55,0.0538,1.0,1,0.9,ABA,OZFQ,40
107,0,0.55,0.0538,1.0,1,0.9,ABB,OZFQ,40
108,0,0.55,0.0538,1.0,2,0.6,AAB,OZFQ,40
109,0,0.55,0.0538,1.0,2,0.6,ABA,OZFQ,40
110,0,0.55,0.0538,1.0,2,0.6,ABB,OZFQ,40
111,0,0.55,0.0538,1.0,2,0.7,AAB,OZFQ,40
112,0,0.55,0.0538,1.0,2,0.7,ABA,OZFQ,40
113,0,0.55,0.0538,1.0,2,0.7,ABB,OZFQ,40
114,0,0.55,0.0538,1.0,2,0.8,AAB,OZFQ,40
115,0,0.55,0.0538,1.0,2,0.8,ABA,OZFQ,40
116,0,0.55,0.0538,1.0,2,0.8,ABB,OZFQ,40
117,0,0.55,0.0538,1.0,2,0.9,AAB,OZFQ,40
118,0,0.55,0.0538,1.0,2,0.9,ABA,OZFQ,40
119,0,0.55,0.0538,1.0,2,0.9,ABB,OZFQ,40
120,0,0.55,0.0538,1.0,5,0.6,AAB,OZFQ,40
121,0,0.55,0.0538,1.0,5,0.6,ABA,OZFQ,40
122,0,0.55,0.0538,1.0,5,0.6,ABB,OZFQ,40
123,0,0.55,0.0538,1.0,5,0.7,AAB,OZFQ,40
124,0,0.55,0.0538,1.0,5,0.7,ABA,OZFQ,40
125,0,0.55,0.0538,1.0,5,0.7,ABB,OZFQ,40
126,0,0.55,0.0538,1.0,5,0.8,AAB,OZFQ,40
127,0,0.55,0.0538,1.0,5,0.8,ABA,OZFQ,40
128,0,0.55,0.0538,1.0,5,0.8,ABB,OZFQ,40
129,0,0.55,0.0538,1.0,5,0.9,AAB,OZFQ,40
130,0,0.55,0.0538,1.0,5,0.9,ABA,OZFQ,40
131,0,0.55,0.0538,1.0,5,0.9,ABB,OZFQ,40
132,0,0.55,0.0538,1.0,10,0.6,AAB,OZFQ,40
133,0,0.55,0.0538,1.0,10,0.6,ABA,OZFQ,40
134,0,0.55,0.0538,1.0,10,0.6,ABB,OZFQ,40
135,0,0.55,0.0538,1.0,10,0.7,AAB,OZFQ,40
136,0,0.55,0.0538,1.0,10,0.7,ABA,OZFQ,40
137,0,0.55,0.0538,1.0,10,0.7,ABB,OZFQ,40
138,0,0.55,0.0538,1.0,10,0.8,AAB,OZFQ,40
139,0,0.55,0.0538,1.0,10,0.8,ABA,OZFQ,40
140,0,0.55,0.0538,1.0,10,0.8,ABB,OZFQ,40
141,0,0.55,0.0538,1.0,10,0.9,AAB,OZFQ,40
142,0,0.55,0.0538,1.0,10,0.9,ABA,OZFQ,40
143,0,0.55,0.0538,1.0,10,0.9,ABB,OZFQ,40
144,0,0.55,0.0508,0.5,1,0.6,AAB,OZFQ,40
145,0,0.55,0.0508,0.5,1,0.6,ABA,OZFQ,40
146,0,0.55,0.0508,0.5,1,0.6,ABB,OZFQ,40
147,0,0.55,0.0508,0.5,1,0.7,AAB,OZFQ,40
148,0,0.55,0.0508,0.5,1,0.7,ABA,OZFQ,40
149,0,0.55,0.0508,0.5,1,0.7,ABB,OZFQ,40
150,0,0.55,0.0508,0.5,1,0.8,AAB,OZFQ,40
151,0,0.55,0.0508,0.5,1,0.8,ABA,OZFQ,40
152,0,0.55,0.0508,0.5,1,0.8,ABB,OZFQ,40
153,0,0.55,0.0508,0.5,1,0.9,AAB,OZFQ,40
154,0,0.55,0.0508,0.5,1,0.9,ABA,OZFQ,40
155,0,0.55,0.0508,0.5,1,0.9,ABB,OZFQ,40
156,0,0.55,0.0508,0.5,2,0.6,AAB,OZFQ,40
157,0,0.55,0.0508,0.5,2,0.6,ABA,OZFQ,40
158,0,0.55,0.0508,0.5,2,0.6,ABB,OZFQ,40
159,0,0.55,0.0508,0.5,2,0.7,AAB,OZFQ,40
160,0,0.55,0.0508,0.5,2,0.7,ABA,OZFQ,40
161,0,0.55,0.0508,0.5,2,0.7,ABB,OZFQ,40
162,0,0.55,0.0508,0.5,2,0.8,AAB,OZFQ,40
163,0,0.55,0.0508,0.5,2,0.8,ABA,OZFQ,40
164,0,0.55,0.0508,0.5,2,0.8,ABB,OZFQ,40
165,0,0.55,0.0508,0.5,2,0.9,AAB,OZFQ,40
166,0,0.55,0.0508,0.5,2,0.9,ABA,OZFQ,40
167,0,0.55,0.0508,0.5,2,0.9,ABB,OZFQ,40
168,0,0.55,0.0508,0.5,5,0.6,AAB,OZFQ,40
169,0,0.55,0.0508,0.5,5,0.6,ABA,OZFQ,40
170,0,0.55,0.0508,0.5,5,0.6,ABB,OZFQ,40
171,0,0.55,0.0508,0.5,5,0.7,AAB,OZFQ,40
172,0,0.55,0.0508,0.5,5,0.7,ABA,OZFQ,40
