,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
157,0,0.0585,5,0.8,ABA,DHAPPQ
158,0,0.0585,5,0.8,ABB,DHAPPQ
159,0,0.0585,5,0.8,AAB,KAFLUM
160,0,0.0585,5,0.8,ABA,KAFLUM
161,0,0.0585,5,0.8,ABB,KAFLUM
162,0,0.0585,5,0.9,AAB,DHAPPQ
163,0,0.0585,5,0.9,ABA,DHAPPQ
164,0,0.0585,5,0.9,ABB,DHAPPQ
165,0,0.0585,5,0.9,AAB,KAFLUM
166,0,0.0585,5,0.9,ABA,KAFLUM
167,0,0.0585,5,0.9,ABB,KAFLUM
168,0,0.0585,10,0.6,AAB,DHAPPQ
169,0,0.0585,10,0.6,ABA,DHAPPQ
170,0,0.0585,10,0.6,ABB,DHAPPQ
171,0,0.0585,10,0.6,AAB,KAFLUM
172,0,0.0585,10,0.6,ABA,KAFLUM
173,0,0.0585,10,0.6,ABB,KAFLUM
174,0,0.0585,10,0.7,AAB,DHAPPQ
175,0,0.0585,10,0.7,ABA,DHAPPQ
176,0,0.0585,10,0.7,ABB,DHAPPQ
177,0,0.0585,10,0.7,AAB,KAFLUM
178,0,0.0585,10,0.7,ABA,KAFLUM
179,0,0.0585,10,0.7,ABB,KAFLUM
180,0,0.0585,10,0.8,AAB,DHAPPQ
181,0,0.0585,10,0.8,ABA,DHAPPQ
182,0,0.0585,10,0.8,ABB,DHAPPQ
183,0,0.0585,10,0.8,AAB,KAFLUM
184,0,0.0585,10,0.8,ABA,KAFLUM
185,0,0.0585,10,0.8,ABB,KAFLUM
186,0,0.0585,10,0.9,AAB,DHAPPQ
187,0,0.0585,10,0.9,ABA,DHAPPQ
188,0,0.0585,10,0.9,ABB,DHAPPQ
189,0,0.0585,10,0.9,AAB,KAFLUM
190,0,0.0585,10,0.9,ABA,KAFLUM
191,0,0.0585,10,0.9,ABB,KAFLUM
192,0,0.0538,1,0.6,AAB,DHAPPQ
193,0,0.0538,1,0.6,ABA,DHAPPQ
194,0,0.0538,1,0.6,ABB,DHAPPQ
195,0,0.0538,1,0.6,AAB,KAFLUM
196,0,0.0538,1,0.6,ABA,KAFLUM
197,0,0.0538,1,0.6,ABB,KAFLUM
198,0,0.0538,1,0.7,AAB,DHAPPQ
199,0,0.0538,1,0.7,ABA,DHAPPQ
200,0,0.0538,1,0.7,ABB,DHAPPQ
