,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
521,1,0.06413,2,0.8,ABB,KAFLUM
522,1,0.06413,2,0.9,AAB,DHAPPQ
523,1,0.06413,2,0.9,ABA,DHAPPQ
524,1,0.06413,2,0.9,ABB,DHAPPQ
525,1,0.06413,2,0.9,AAB,KAFLUM
526,1,0.06413,2,0.9,ABA,KAFLUM
527,1,0.06413,2,0.9,ABB,KAFLUM
528,1,0.06413,5,0.6,AAB,DHAPPQ
529,1,0.06413,5,0.6,ABA,DHAPPQ
530,1,0.06413,5,0.6,ABB,DHAPPQ
531,1,0.06413,5,0.6,AAB,KAFLUM
532,1,0.06413,5,0.6,ABA,KAFLUM
533,1,0.06413,5,0.6,ABB,KAFLUM
534,1,0.06413,5,0.7,AAB,DHAPPQ
535,1,0.06413,5,0.7,ABA,DHAPPQ
536,1,0.06413,5,0.7,ABB,DHAPPQ
537,1,0.06413,5,0.7,AAB,KAFLUM
538,1,0.06413,5,0.7,ABA,KAFLUM
539,1,0.06413,5,0.7,ABB,KAFLUM
540,1,0.06413,5,0.8,AAB,DHAPPQ
541,1,0.06413,5,0.8,ABA,DHAPPQ
542,1,0.06413,5,0.8,ABB,DHAPPQ
543,1,0.06413,5,0.8,AAB,KAFLUM
544,1,0.06413,5,0.8,ABA,KAFLUM
545,1,0.06413,5,0.8,ABB,KAFLUM
546,1,0.06413,5,0.9,AAB,DHAPPQ
547,1,0.06413,5,0.9,ABA,DHAPPQ
548,1,0.06413,5,0.9,ABB,DHAPPQ
549,1,0.06413,5,0.9,AAB,KAFLUM
550,1,0.06413,5,0.9,ABA,KAFLUM
551,1,0.06413,5,0.9,ABB,KAFLUM
552,1,0.06413,10,0.6,AAB,DHAPPQ
553,1,0.06413,10,0.6,ABA,DHAPPQ
554,1,0.06413,10,0.6,ABB,DHAPPQ
555,1,0.06413,10,0.6,AAB,KAFLUM
556,1,0.06413,10,0.6,ABA,KAFLUM
557,1,0.06413,10,0.6,ABB,KAFLUM
558,1,0.06413,10,0.7,AAB,DHAPPQ
559,1,0.06413,10,0.7,ABA,DHAPPQ
560,1,0.06413,10,0.7,ABB,DHAPPQ
561,1,0.06413,10,0.7,AAB,KAFLUM
562,1,0.06413,10,0.7,ABA,KAFLUM
563,1,0.06413,10,0.7,ABB,KAFLUM
564,1,0.06413,10,0.8,AAB,DHAPPQ
565,1,0.06413,10,0.8,ABA,DHAPPQ
566,1,0.06413,10,0.8,ABB,DHAPPQ
567,1,0.06413,10,0.8,AAB,KAFLUM
568,1,0.06413,10,0.8,ABA,KAFLUM
569,1,0.06413,10,0.8,ABB,KAFLUM
570,1,0.06413,10,0.9,AAB,DHAPPQ
571,1,0.06413,10,0.9,ABA,DHAPPQ
572,1,0.06413,10,0.9,ABB,DHAPPQ
573,1,0.06413,10,0.9,AAB,KAFLUM
574,1,0.06413,10,0.9,ABA,KAFLUM
575,1,0.06413,10,0.9,ABB,KAFLUM
576,1,0.0585,1,0.6,AAB,DHAPPQ
577,1,0.0585,1,0.6,ABA,DHAPPQ
578,1,0.0585,1,0.6,ABB,DHAPPQ
579,1,0.0585,1,0.6,AAB,KAFLUM
580,1,0.0585,1,0.6,ABA,KAFLUM
581,1,0.0585,1,0.6,ABB,KAFLUM
582,1,0.0585,1,0.7,AAB,DHAPPQ
583,1,0.0585,1,0.7,ABA,DHAPPQ
584,1,0.0585,1,0.7,ABB,DHAPPQ
585,1,0.0585,1,0.7,AAB,KAFLUM
586,1,0.0585,1,0.7,ABA,KAFLUM
587,1,0.0585,1,0.7,ABB,KAFLUM
588,1,0.0585,1,0.8,AAB,DHAPPQ
589,1,0.0585,1,0.8,ABA,DHAPPQ
590,1,0.0585,1,0.8,ABB,DHAPPQ
