,mda_round,pfpr,itc,imp
0,0,2,_itc,_imp
1,0,2,_itc,
2,0,2,,_imp
3,0,2,,
4,1,2,_itc,_imp
5,1,2,_itc,
6,1,2,,_imp
7,1,2,,
8,2,2,_itc,_imp
9,2,2,_itc,
10,2,2,,_imp
11,2,2,,
12,3,2,_itc,_imp
13,3,2,_itc,
14,3,2,,_imp
15,3,2,,
16,4,2,_itc,_imp
17,4,2,_itc,
18,4,2,,_imp
19,4,2,,
